place_id,place_key,geom_source,year,value,numerator,denominator,measure_type,source,sample_n,notes
Basel,basel,legacy,,18.32,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Lausanne,lausanne,legacy,,3.22,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Luzern,luzern,legacy,,12.06,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Winterthur,winterthur,legacy,,9.04,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Lugano,lugano,legacy,,3.61,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
St. Gallen,st. gallen,legacy,,5.0,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Bienne,bienne,legacy,,6.89,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Birmingham,birmingham,legacy,,1.3,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Leeds,leeds,legacy,,1.4,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Glasgow,glasgow,legacy,,8.0,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Sheffield,sheffield,legacy,,1.5,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Bradford,bradford,legacy,,0.7,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Manchester,manchester,legacy,,3.1,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Edinburgh,edinburgh,legacy,,13.0,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
